uri	original	en	language	translation	source	date
http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	ro	cuantificarea riscului //n//m//f	googleTranslate	2021-10-08 08:26:14.965459
http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	cs	kvantifikace rizika //n//m//f	googleTranslate	2021-10-08 08:26:18.214381
http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	de	Risikoquantifizierung //n//m//f	googleTranslate	2021-10-08 08:26:20.433489
http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	da	risikokvantificering //n//m//f	googleTranslate	2021-10-08 08:26:22.677967
http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	hr	kvantifikacija rizika //n//m//f	googleTranslate	2021-10-08 08:26:27.937129
http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	ga	cainníochtú riosca //n//m//f	googleTranslate	2021-10-08 08:26:31.143371
http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	bg	количествено определяне на риска //n//m//f	googleTranslate	2021-10-08 08:26:35.367434
http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	mt	kwantifikazzjoni tar-riskju //n//m//f	googleTranslate	2021-10-08 08:26:37.563845
http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	it	quantificazione del rischio //n//m//f	googleTranslate	2021-10-08 08:26:42.792928
http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	no	risikokvantifisering //n//m//f	googleTranslate	2021-10-08 08:26:46.966652
http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	nl	risico kwantificering //n//m//f	googleTranslate	2021-10-08 08:26:51.200738
http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	is	áhættumælingu //n//m//f	googleTranslate	2021-10-08 08:26:54.377932
http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	lt	rizikos kiekybinis įvertinimas //n//m//f	googleTranslate	2021-10-08 08:26:58.540774
http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	el	ποσοτικοποίηση κινδύνου //n//m//f	googleTranslate	2021-10-08 08:27:00.714134
http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	es	cuantificación de riesgos //n//m//f	googleTranslate	2021-10-08 08:27:04.949422
http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	sv	riskkvantifiering //n//m//f	googleTranslate	2021-10-08 08:27:08.189607
http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	sl	količinska opredelitev tveganja //n//m//f	googleTranslate	2021-10-08 08:27:11.440093
http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	pl	kwantyfikacja ryzyka //n//m//f	googleTranslate	2021-10-08 08:27:15.703720
http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	ar	تقدير كمية المخاطر //n//m//f	googleTranslate	2021-10-08 08:27:20.880270
http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	lv	riska kvantitatīva noteikšana //n//m//f	googleTranslate	2021-10-08 08:27:23.106434
http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	pt	quantificação de risco //n//m//f	googleTranslate	2021-10-08 08:27:26.316497
http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	hu	kockázat számszerűsítése //n//m//f	googleTranslate	2021-10-08 08:27:29.533081
http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	fi	riskien kvantifiointi //n//m//f	googleTranslate	2021-10-08 08:27:33.775834
http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	sk	kvantifikácia rizika //n//m//f	googleTranslate	2021-10-08 08:27:37.994893
http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	et	riski kvantifitseerimine //n//m//f	googleTranslate	2021-10-08 08:27:42.268402
http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	fr	quantification des risques //n//m//f	googleTranslate	2021-10-08 08:27:45.588761
http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	ro	cadrul legislativ privind accesul la documente //n//m//f	googleTranslate	2021-10-08 08:27:48.888275
http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	cs	legislativní rámec pro přístup k dokumentům //n//m//f	googleTranslate	2021-10-08 08:27:54.183317
http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	de	Rechtsrahmen für den Zugang zu Dokumenten //n//m//f	googleTranslate	2021-10-08 08:27:56.445435
http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	da	lovgivningsmæssige rammer for aktindsigt //n//m//f	googleTranslate	2021-10-08 08:28:00.743683
http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	hr	zakonodavni okvir o pristupu dokumentima //n//m//f	googleTranslate	2021-10-08 08:28:05.031841
http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	ga	creat reachtach maidir le rochtain ar dhoiciméid //n//m//f	googleTranslate	2021-10-08 08:28:08.335515
http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	bg	законодателна рамка за достъп до документи //n//m//f	googleTranslate	2021-10-08 08:28:12.615455
http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	mt	qafas leġislattiv dwar l-aċċess għad-dokumenti //n//m//f	googleTranslate	2021-10-08 08:28:16.923641
http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	it	quadro legislativo sull'accesso ai documenti //n//m//f	googleTranslate	2021-10-08 08:28:19.181400
http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	no	lovverk for tilgang til dokumenter //n//m//f	googleTranslate	2021-10-08 08:28:22.480389
http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	nl	wettelijk kader voor toegang tot documenten //n//m//f	googleTranslate	2021-10-08 08:28:27.853270
http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	is	lagaramma um aðgang að skjölum //n//m//f	googleTranslate	2021-10-08 08:28:31.143220
http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	lt	teisės aktų sistemą dėl galimybės susipažinti su dokumentais //n//m//f	googleTranslate	2021-10-08 08:28:34.421653
http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	el	νομοθετικό πλαίσιο για την πρόσβαση στα έγγραφα //n//m//f	googleTranslate	2021-10-08 08:28:38.687450
http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	es	marco legislativo sobre el acceso a los documentos //n//m//f	googleTranslate	2021-10-08 08:28:40.954436
http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	sv	lagstiftning om tillgång till handlingar //n//m//f	googleTranslate	2021-10-08 08:28:43.254300
http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	sl	zakonodajni okvir za dostop do dokumentov //n//m//f	googleTranslate	2021-10-08 08:28:45.536392
http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	pl	ramy prawne dotyczące dostępu do dokumentów //n//m//f	googleTranslate	2021-10-08 08:28:50.888081
http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	ar	الإطار التشريعي بشأن الوصول إلى الوثائق //n//m//f	googleTranslate	2021-10-08 08:28:55.218179
http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	lv	tiesiskais regulējums par piekļuvi dokumentiem //n//m//f	googleTranslate	2021-10-08 08:29:00.514407
http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	pt	quadro legislativo sobre o acesso aos documentos //n//m//f	googleTranslate	2021-10-08 08:29:02.787199
http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	hu	a dokumentumokhoz való hozzáférés jogi kerete //n//m//f	googleTranslate	2021-10-08 08:29:07.065488
http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	fi	asiakirjojen saatavuutta koskeva lainsäädäntökehys //n//m//f	googleTranslate	2021-10-08 08:29:11.342943
http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	sk	legislatívny rámec o prístupe k dokumentom //n//m//f	googleTranslate	2021-10-08 08:29:15.611240
http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	et	õiguslik raamistik dokumentidele juurdepääsu kohta //n//m//f	googleTranslate	2021-10-08 08:29:17.945401
http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	fr	cadre législatif sur l'accès aux documents //n//m//f	googleTranslate	2021-10-08 08:29:20.195551
http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	ro	tehnici de întreținere predictivă //n//m//f	googleTranslate	2021-10-08 08:29:22.682361
http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	cs	techniky prediktivní údržby //n//m//f	googleTranslate	2021-10-08 08:29:24.935185
http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	de	Predictive Maintenance-Techniken //n//m//f	googleTranslate	2021-10-08 08:29:27.210613
http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	da	forudsigende vedligeholdelsesteknikker //n//m//f	googleTranslate	2021-10-08 08:29:31.497463
http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	hr	tehnike predviđanja održavanja //n//m//f	googleTranslate	2021-10-08 08:29:36.736347
http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	ga	teicnící cothabhála tuartha //n//m//f	googleTranslate	2021-10-08 08:29:40.039350
http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	bg	техники за прогнозна поддръжка //n//m//f	googleTranslate	2021-10-08 08:29:43.349664
http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	mt	tekniki ta 'manutenzjoni ta' tbassir //n//m//f	googleTranslate	2021-10-08 08:29:47.593908
