index	uri	original	en	language	translation	source	date
0	http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	ro	cuantificarea riscului //n//m//f	googleTranslate	2021-10-08 08:26:14.965459
1	http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	cs	kvantifikace rizika //n//m//f	googleTranslate	2021-10-08 08:26:18.214381
2	http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	de	Risikoquantifizierung //n//m//f	googleTranslate	2021-10-08 08:26:20.433489
3	http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	da	risikokvantificering //n//m//f	googleTranslate	2021-10-08 08:26:22.677967
4	http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	hr	kvantifikacija rizika //n//m//f	googleTranslate	2021-10-08 08:26:27.937129
5	http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	ga	cainníochtú riosca //n//m//f	googleTranslate	2021-10-08 08:26:31.143371
6	http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	bg	количествено определяне на риска //n//m//f	googleTranslate	2021-10-08 08:26:35.367434
7	http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	mt	kwantifikazzjoni tar-riskju //n//m//f	googleTranslate	2021-10-08 08:26:37.563845
8	http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	it	quantificazione del rischio //n//m//f	googleTranslate	2021-10-08 08:26:42.792928
9	http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	no	risikokvantifisering //n//m//f	googleTranslate	2021-10-08 08:26:46.966652
10	http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	nl	risico kwantificering //n//m//f	googleTranslate	2021-10-08 08:26:51.200738
11	http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	is	áhættumælingu //n//m//f	googleTranslate	2021-10-08 08:26:54.377932
12	http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	lt	rizikos kiekybinis įvertinimas //n//m//f	googleTranslate	2021-10-08 08:26:58.540774
13	http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	el	ποσοτικοποίηση κινδύνου //n//m//f	googleTranslate	2021-10-08 08:27:00.714134
14	http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	es	cuantificación de riesgos //n//m//f	googleTranslate	2021-10-08 08:27:04.949422
15	http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	sv	riskkvantifiering //n//m//f	googleTranslate	2021-10-08 08:27:08.189607
16	http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	sl	količinska opredelitev tveganja //n//m//f	googleTranslate	2021-10-08 08:27:11.440093
17	http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	pl	kwantyfikacja ryzyka //n//m//f	googleTranslate	2021-10-08 08:27:15.703720
18	http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	ar	تقدير كمية المخاطر //n//m//f	googleTranslate	2021-10-08 08:27:20.880270
19	http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	lv	riska kvantitatīva noteikšana //n//m//f	googleTranslate	2021-10-08 08:27:23.106434
20	http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	pt	quantificação de risco //n//m//f	googleTranslate	2021-10-08 08:27:26.316497
21	http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	hu	kockázat számszerűsítése //n//m//f	googleTranslate	2021-10-08 08:27:29.533081
22	http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	fi	riskien kvantifiointi //n//m//f	googleTranslate	2021-10-08 08:27:33.775834
23	http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	sk	kvantifikácia rizika //n//m//f	googleTranslate	2021-10-08 08:27:37.994893
24	http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	et	riski kvantifitseerimine //n//m//f	googleTranslate	2021-10-08 08:27:42.268402
25	http://data.europa.eu/esco/skill/5d5f0963-a8b7-4a4f-a8f5-05b3142752b9	risk quantification	en	fr	quantification des risques //n//m//f	googleTranslate	2021-10-08 08:27:45.588761
26	http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	ro	cadrul legislativ privind accesul la documente //n//m//f	googleTranslate	2021-10-08 08:27:48.888275
27	http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	cs	legislativní rámec pro přístup k dokumentům //n//m//f	googleTranslate	2021-10-08 08:27:54.183317
28	http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	de	Rechtsrahmen für den Zugang zu Dokumenten //n//m//f	googleTranslate	2021-10-08 08:27:56.445435
29	http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	da	lovgivningsmæssige rammer for aktindsigt //n//m//f	googleTranslate	2021-10-08 08:28:00.743683
30	http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	hr	zakonodavni okvir o pristupu dokumentima //n//m//f	googleTranslate	2021-10-08 08:28:05.031841
31	http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	ga	creat reachtach maidir le rochtain ar dhoiciméid //n//m//f	googleTranslate	2021-10-08 08:28:08.335515
32	http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	bg	законодателна рамка за достъп до документи //n//m//f	googleTranslate	2021-10-08 08:28:12.615455
33	http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	mt	qafas leġislattiv dwar l-aċċess għad-dokumenti //n//m//f	googleTranslate	2021-10-08 08:28:16.923641
34	http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	it	quadro legislativo sull'accesso ai documenti //n//m//f	googleTranslate	2021-10-08 08:28:19.181400
35	http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	no	lovverk for tilgang til dokumenter //n//m//f	googleTranslate	2021-10-08 08:28:22.480389
36	http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	nl	wettelijk kader voor toegang tot documenten //n//m//f	googleTranslate	2021-10-08 08:28:27.853270
37	http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	is	lagaramma um aðgang að skjölum //n//m//f	googleTranslate	2021-10-08 08:28:31.143220
38	http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	lt	teisės aktų sistemą dėl galimybės susipažinti su dokumentais //n//m//f	googleTranslate	2021-10-08 08:28:34.421653
39	http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	el	νομοθετικό πλαίσιο για την πρόσβαση στα έγγραφα //n//m//f	googleTranslate	2021-10-08 08:28:38.687450
40	http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	es	marco legislativo sobre el acceso a los documentos //n//m//f	googleTranslate	2021-10-08 08:28:40.954436
41	http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	sv	lagstiftning om tillgång till handlingar //n//m//f	googleTranslate	2021-10-08 08:28:43.254300
42	http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	sl	zakonodajni okvir za dostop do dokumentov //n//m//f	googleTranslate	2021-10-08 08:28:45.536392
43	http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	pl	ramy prawne dotyczące dostępu do dokumentów //n//m//f	googleTranslate	2021-10-08 08:28:50.888081
44	http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	ar	الإطار التشريعي بشأن الوصول إلى الوثائق //n//m//f	googleTranslate	2021-10-08 08:28:55.218179
45	http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	lv	tiesiskais regulējums par piekļuvi dokumentiem //n//m//f	googleTranslate	2021-10-08 08:29:00.514407
46	http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	pt	quadro legislativo sobre o acesso aos documentos //n//m//f	googleTranslate	2021-10-08 08:29:02.787199
47	http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	hu	a dokumentumokhoz való hozzáférés jogi kerete //n//m//f	googleTranslate	2021-10-08 08:29:07.065488
48	http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	fi	asiakirjojen saatavuutta koskeva lainsäädäntökehys //n//m//f	googleTranslate	2021-10-08 08:29:11.342943
49	http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	sk	legislatívny rámec o prístupe k dokumentom //n//m//f	googleTranslate	2021-10-08 08:29:15.611240
50	http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	et	õiguslik raamistik dokumentidele juurdepääsu kohta //n//m//f	googleTranslate	2021-10-08 08:29:17.945401
51	http://data.europa.eu/esco/skill/eccf3b4f-881f-4ae6-b96a-666be929d780	legislative framework on access to documents	en	fr	cadre législatif sur l'accès aux documents //n//m//f	googleTranslate	2021-10-08 08:29:20.195551
52	http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	ro	tehnici de întreținere predictivă //n//m//f	googleTranslate	2021-10-08 08:29:22.682361
53	http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	cs	techniky prediktivní údržby //n//m//f	googleTranslate	2021-10-08 08:29:24.935185
54	http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	de	Predictive Maintenance-Techniken //n//m//f	googleTranslate	2021-10-08 08:29:27.210613
56	http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	hr	tehnike predviđanja održavanja //n//m//f	googleTranslate	2021-10-08 08:29:36.736347
57	http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	ga	teicnící cothabhála tuartha //n//m//f	googleTranslate	2021-10-08 08:29:40.039350
