uri	english	language	translation
http://data.europa.eu/esco/skill/96a893b6-4520-4daa-89c1-b79487505da2	key risk indicators	bg	основни показатели за риска
http://data.europa.eu/esco/skill/10ff3d22-1f29-48bc-98e4-63fc61c78034	social alliances	bg	социални алианси
http://data.europa.eu/esco/skill/8622f74f-61b7-4664-862a-7c1dea8041f0	knowledge management	bg	управление на знанията
http://data.europa.eu/esco/skill/5da42cfd-1da8-4e4f-b68e-4f821d005fc5	virtual reality	bg	виртуална реалност
http://data.europa.eu/esco/skill/61ddacb8-c89f-48c2-afe8-9e1b14c0c8fb	business incubation	bg	бизнес инкубиране
http://data.europa.eu/esco/skill/affb720b-98e7-4ae6-b833-b12e94fa8987	hydroponics	bg	хидропонно производство
http://data.europa.eu/esco/skill/00920055-eb50-4cb8-a23d-3deedbf3753e	enterprise risk management	bg	управление на риска за предприятия
http://data.europa.eu/esco/skill/9035afc4-5317-455d-ab60-f32e2ecc6bfc	blockchain platforms	bg	платформи за блокови вериги
http://data.europa.eu/esco/skill/53780150-1581-4ae6-b435-34068c172caf	Vyper	bg	Vyper
http://data.europa.eu/esco/skill/3c2e6f38-42c1-46ec-b782-5854b2db330d	blockchain openness	bg	отвореност на блоковите вериги
http://data.europa.eu/esco/skill/6c6daac0-80f5-431f-a33f-c5b722094657	energy storage systems	bg	системи за съхранение на енергия
http://data.europa.eu/esco/skill/ef010091-ddce-410d-9864-9276ef6fe390	district heating and cooling	bg	централни отоплителни и охладителни системи
http://data.europa.eu/esco/skill/2eb30deb-18d0-4e9d-9c53-30069ac9a108	youth work principles	bg	принципи на младежката работа
http://data.europa.eu/esco/skill/203083ca-b051-4c28-8986-fc8731bacee5	sustainable finance	bg	финансиране за устойчиво развитие
http://data.europa.eu/esco/skill/c513cf4e-83bb-4edc-9ac8-2a7df04a9451	results-based management	bg	основано на резултати управление
http://data.europa.eu/esco/skill/701f0a7d-1be9-4e98-b985-2652b2bf327a	risk financing techniques	bg	техники за финансиране на риска
http://data.europa.eu/esco/skill/82fea746-853f-4f1b-8ab7-55de8619cccd	lean manufacturing	bg	оптимизирано производство
http://data.europa.eu/esco/skill/9be02d2d-9d45-400b-aa05-1e9aee7bd815	mini wind power generation	bg	производство на вятърна енергия с малки турбини
http://data.europa.eu/esco/skill/4300b453-9bcf-474c-9ee3-92ec2229720c	global standards for sustainability reporting	bg	глобални стандарти за отчитане във връзка с устойчивостта
http://data.europa.eu/esco/skill/7af76a2b-6bba-4350-9bfa-980e50c98481	SMED	bg	SMED
http://data.europa.eu/esco/skill/ccb2e5f2-4279-48fd-9d85-a1db42ff1e13	project configuration management	bg	управление на конфигурацията на проекта
http://data.europa.eu/esco/skill/5fd29c67-c905-4e34-98ff-f90ce6446b35	European vehicle type-approval legislation	bg	европейско законодателство за одобряване на типа на превозно средство
http://data.europa.eu/esco/skill/59429f7f-8b95-4094-b1cf-97cbb556f03d	participatory decision-making	bg	основано на участието вземане на решения
http://data.europa.eu/esco/skill/2d73b2d4-2dfd-42e9-a9f4-106d9c58a4b9	integrated food-energy systems	bg	интегрирани хранително-енергийни системи
